"k","idx","value"
1,1,38.0789527490041
1,2,-22.9223637843951
1,3,13.6266211883834
1,4,-8.29687216837005
1,5,0
1,6,-1.89510633013064
2,1,-0.0127768183272272
2,2,0.0129969810010081
2,3,-0.0309953379345048
2,4,-0.115294295726117
2,5,-0.0427130182813281
2,6,0.046948956749793
2,7,-0.0685975379953059
2,8,-0.25394355629824
2,9,0.0228822358581674
2,10,0.0539457963327468
2,11,0.00953980138019745
2,12,0.0566077860408452
2,13,0.0583978565917866
2,14,0.0293697917574418
2,15,0.0646548369630019
2,16,0.288793236285872
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
3,1,0.0156007126661269
3,2,0.0078852085874691
3,3,0.0316946933709849
3,4,0.160712460238447
3,5,-0.00458938183771392
3,6,0.00729650643402884
3,7,-0.0214735748187955
3,8,0.0119431977970475
3,9,9.51146543423659e-05
3,10,0.00715604933372328
3,11,0.0803575934727004
3,12,-0.0213765461096753
3,13,0.00332852960251814
3,14,-0.0680600406114689
3,15,0.00702693004784319
3,16,-0.00138116138139387
3,17,-0.0331214635769154
3,18,-0.111487970412917
3,19,-0.00500875642757066
3,20,0.0181709617292623
3,21,-0.0666595998935457
3,22,0.00624259652450448
3,23,0.000710481208023387
3,24,-0.0167862792343125
3,25,-0.0647780723171855
3,26,0.00175395516059853
3,27,0.0208171943124049
3,28,-0.0365910933064033
3,29,0
3,30,0
3,31,0
3,32,0
3,33,0
3,34,0
3,35,0
3,36,0
3,37,0
3,38,0
3,39,0
3,40,0
3,41,0
3,42,0
4,1,0.124978441563271
4,2,-0.0515673142314976
4,3,0.0186609880392523
4,4,-0.0297691946025996
4,5,-0.0412158021561897
4,6,0.127919946778305
4,7,-0.103462540874324
4,8,0.0443291879992635
4,9,0.102020740922823
4,10,0.121067492162897
4,11,0.220994933821351
4,12,-0.100221521333736
4,13,0.0138175241107144
4,14,-0.101777752753928
4,15,-0.0589073670938722
4,16,0.182141052097685
4,17,-0.112037106102508
4,18,0.052857569949583
4,19,0.160767119819572
4,20,0.148321194024852
4,21,0.136987359334151
4,22,-0.083904321751884
4,23,-0.024948662875541
4,24,-0.172289490893175
4,25,-0.0236398532404322
4,26,0.0909765228404428
4,27,-0.0104013999795338
4,28,-0.00353264362720028
4,29,0.0880092397390365
4,30,0.0256211965544983
4,31,0.0307806841266241
4,32,-0.0373414457561957
4,33,-0.0438405307800588
4,34,-0.201172060181967
4,35,0.0027482497197586
4,36,0.0254826839083002
4,37,0.0269658942359707
4,38,-0.0122613599787283
4,39,0.000836094638754407
4,40,0.0225073811706513
4,41,0
4,42,0
4,43,0
4,44,0
4,45,0
4,46,0
4,47,0
4,48,0
4,49,0
4,50,0
4,51,0.0212633564765622
4,52,0.0203241629459576
4,53,0.0220367209098089
4,54,0.0375804526418964
4,55,0.0188068665101461
4,56,0.0166344211119438
4,57,0.0147131357778682
4,58,-0.0376356816533801
4,59,0.0667693735427859
4,60,-0.118562301692588
