"V1","V2","V3","V4"
0.320772367557518,0.693543445314051,0.581348154577395,0.996872103674947
0.814965217749101,0.859731202124903,0.651265979811026,0.38072764345826
0.502582044179591,0.407387248582725,0.792930207848229,0.786785530326031
0.575579953569422,0.955957459383578,0.55428088277051,0.325207496444942
0.839359084107173,0.354298755021723,0.913109491682741,0.669267297977626
0.765528298527477,0.673453388236597,0.777145878940448,0.494873103099813
0.31434241668441,0.54468465109847,0.443805222275209,0.0623777139375715
0.655175313298308,0.25609607443755,0.454346004337578,0.904943543753201
0.610131239753076,0.0697096942180884,0.0375154436937013,0.52677316174982
0.482721380313345,0.461746268540935,0.163405733134967,0.645088034688358
0.253927918752346,0.351541401699129,0.802831769703388,0.58644160234135
0.951336001875513,0.679366871328275,0.648568466886812,0.418618570065873
0.362164528095318,0.252525816107105,0.234768227189482,0.187475886400989
0.88434603169706,0.33109356652384,0.0361613155214904,0.921818911809004
0.529930227366719,0.610415048059199,0.647841106446088,0.892408504488423
0.384420249741991,0.294937708526466,0.770851040735842,0.804262932575866
0.245210929745414,0.68875911510495,0.673318852393478,0.743343688474259
0.786591855193374,0.957754006996091,0.752441668199311,0.329067276476601
0.456006761008598,0.293042821588986,0.761496283115103,0.516235252145177
0.116622667872982,0.580049385259858,0.0820969452344819,0.76578290790401
0.842578415869609,0.558120527563099,0.893284562350646,0.235185933840636
0.287381314248462,0.121946579870738,0.858244678320592,0.672024580789652
0.65860972498082,0.595162421990346,0.998724830058635,0.151556629102328
0.526175698922797,0.567898949634106,0.701824046076337,0.919154250703058
0.974190960063128,0.260864170304344,0.791700764974284,0.514275368753691
0.125729794769653,0.101709061542809,0.45419792627523,0.750888798148919
0.685371335819967,0.480409918450172,0.033510421779746,0.029956193456685
0.149569956875434,0.633669775048182,0.874022268019094,0.880984593438847
0.615094196149022,0.547153023675141,0.401658740973537,0.399017119610945
0.129712212968838,0.513700983889226,0.370897689111155,0.135820345495723
0.564448588721007,0.00167451428980859,0.168576905222126,0.435895687074227
0.869060891258877,0.37226047404447,0.00658552403763689,0.132333931818956
0.795645516370693,0.583172317385432,0.628906035633504,0.176696045390273
0.430846125949089,0.232667650431652,0.444489521908038,0.17581527278737
0.226759562990428,0.93731667105321,0.873180640153487,0.18584163382981
0.596574796362385,0.3800699639074,0.946483134727662,0.142737980241309
0.452651757634299,0.782688633548712,0.686801380803984,0.518085006239513
0.0665875433692506,0.616701068531381,0.929650898363136,0.884156797135193
0.288452974275252,0.926805126759185,0.900342546224995,0.173368516528396
0.927911533702289,0.520306381477911,0.560948209055582,0.142591664238853
0.875062724338976,0.51437275509393,0.229713166319389,0.717300869613379
0.131850277425817,0.509386883426734,0.210905509727323,0.258628046582547
0.751132100423851,0.620440742283541,0.582513852488711,0.673116436744268
0.46800318504447,0.59801740730631,0.257768595993473,0.51395661926949
0.483822473590078,0.605036029943399,0.228083483306275,0.0361307867008981
0.0876001018842022,0.790202129445721,0.709329105302431,0.264545972567137
0.0430100007973411,0.189931213808464,0.0452363263194536,0.888127986608466
0.240111127438265,0.97575619460686,0.552694758036972,0.56371787604058
0.459385629923286,0.628067166210754,0.840300109725356,0.251741616843056
0.717868363387598,0.475017561299484,0.478426573676678,0.0634845867502078
0.360430857727723,0.759945630396823,0.0991306375277248,0.25339111525751
0.798540168558061,0.984413607811453,0.163635177397927,0.840979316230654
0.2782840344457,0.0939249455246789,0.0869670986005022,0.242172191690399
0.44445324357096,0.537836005618044,0.105264119076164,0.475902066465524
0.119202052212674,0.210751183091398,0.418107604834623,0.657336600184535
0.581262276242666,0.867032408200683,0.0207029208203188,0.60471694023951
0.66349163597347,0.58528673358136,0.53703534039003,0.660733878752449
0.178860455745848,0.396549712622863,0.505888109480834,0.0606088087826849
0.268899468667738,0.0345872632394653,0.926529840683835,0.023651790463863
