dataset: miniboone
hyperparameters: ntree=200, minsplit=464, minbucket=232, maxdepth=4, seed=42, train_cores=8
seed=42, N=25
LL_per_dim:
dim01: -1.156512
dim02: -0.706804
dim03: -5.558013
dim04: 1.955112
dim05: 0.105336
dim06: 1.888094
dim07: -0.013682
dim08: 1.749327
dim09: -0.012360
dim10: -6.199634
dim11: -0.252530
dim12: -0.983315
dim13: -7.891451
dim14: -0.542653
dim15: -3.816414
dim16: -0.350510
dim17: -1.950876
dim18: -5.665455
dim19: -1.604312
dim20: 2.360504
dim21: -1.672021
dim22: 0.158818
dim23: 1.973743
dim24: -1.086673
dim25: -1.570481
dim26: 0.223537
dim27: -0.517618
dim28: -5.936891
dim29: 1.728646
dim30: 1.423297
dim31: -1.510886
dim32: -1.296655
dim33: 0.152751
dim34: 2.528197
dim35: -5.121137
dim36: -4.721093
dim37: -1.476689
dim38: -2.715464
dim39: 1.768757
dim40: -0.226225
dim41: -1.232984
dim42: -1.102052
dim43: 1.821391
sum: -47.053881
time_sec: train=1s, test=2s, total=3s
