dataset: miniboone
hyperparameters: ntree=200, minsplit=464, minbucket=232, maxdepth=4, seed=42, train_cores=8
seed=42, N=500
LL_per_dim:
dim01: -1.086104
dim02: -0.766662
dim03: -5.987072
dim04: 1.935757
dim05: -0.162420
dim06: 1.675778
dim07: 0.128171
dim08: 1.831130
dim09: 0.108024
dim10: -6.044872
dim11: -0.312019
dim12: -1.118856
dim13: -7.987843
dim14: -0.555620
dim15: -3.997331
dim16: -0.477357
dim17: -1.399579
dim18: -5.874067
dim19: -1.593505
dim20: 2.533295
dim21: -0.823003
dim22: 0.100128
dim23: 1.751784
dim24: -0.607879
dim25: -1.841978
dim26: -0.193416
dim27: -0.558460
dim28: -5.866502
dim29: 1.787762
dim30: 1.274610
dim31: -1.280024
dim32: -1.325456
dim33: -0.101305
dim34: 2.430154
dim35: -4.835846
dim36: -4.736329
dim37: -1.283205
dim38: -2.116159
dim39: 1.490304
dim40: -0.455313
dim41: -1.321929
dim42: -1.054767
dim43: 1.630251
sum: -47.087732
sum_se: 1.092798
sum_total: -11771.933028
sum_total_se: 273.199621
time_sec: train=2.234, test=26.292, total=28.526
memory_peak_mb: 404.2
