dataset: miniboone
hyperparameters: ntree=200, minsplit=464, minbucket=232, maxdepth=4, seed=42, train_cores=8
seed=42, N=1000
LL_per_dim:
dim01: -1.088594
dim02: -0.702798
dim03: -5.930644
dim04: 1.993911
dim05: -0.084143
dim06: 1.844730
dim07: 0.198712
dim08: 1.950986
dim09: 0.296542
dim10: -5.906396
dim11: -0.007162
dim12: -0.808370
dim13: -7.559020
dim14: -0.082187
dim15: -3.878260
dim16: -0.388540
dim17: -1.309726
dim18: -5.459016
dim19: -1.409603
dim20: 2.583952
dim21: -0.649287
dim22: 0.283422
dim23: 1.879810
dim24: -0.413013
dim25: -1.624264
dim26: -0.034720
dim27: -0.411234
dim28: -5.565231
dim29: 1.957887
dim30: 1.468608
dim31: -0.946358
dim32: -1.000856
dim33: 0.042951
dim34: 2.633506
dim35: -4.596488
dim36: -4.536493
dim37: -0.992878
dim38: -1.886850
dim39: 1.886083
dim40: -0.302215
dim41: -0.957095
dim42: -0.805638
dim43: 1.783724
sum: -38.532255
time_sec: train=140s, test=62s, total=202s
