dataset: miniboone
hyperparameters: ntree=200, minsplit=464, minbucket=232, maxdepth=4, seed=42, train_cores=8
seed=42, N=2500
LL_per_dim:
dim01: -1.063866
dim02: -0.699245
dim03: -5.801472
dim04: 2.119191
dim05: -0.059888
dim06: 1.997228
dim07: 0.298866
dim08: 2.059127
dim09: 0.449057
dim10: -5.804824
dim11: 0.201800
dim12: -0.532564
dim13: -7.090005
dim14: 0.404261
dim15: -3.656633
dim16: -0.262093
dim17: -1.192244
dim18: -5.090401
dim19: -1.190780
dim20: 2.674529
dim21: -0.488823
dim22: 0.491676
dim23: 2.110209
dim24: -0.221349
dim25: -1.380161
dim26: 0.174112
dim27: -0.272266
dim28: -5.319716
dim29: 2.108382
dim30: 1.622497
dim31: -0.629380
dim32: -0.698668
dim33: 0.190535
dim34: 2.794732
dim35: -4.360096
dim36: -4.275484
dim37: -0.740975
dim38: -1.595360
dim39: 2.263808
dim40: -0.043613
dim41: -0.721308
dim42: -0.694387
dim43: 1.912533
sum: -30.013061
time_sec: train=1077s, test=929s, total=2007s
