dataset: miniboone
hyperparameters: ntree=200, minsplit=464, minbucket=232, maxdepth=4, seed=42, train_cores=8
seed=42, N=50
LL_per_dim:
dim01: -1.081755
dim02: -0.653104
dim03: -6.119831
dim04: 2.114554
dim05: -0.089463
dim06: 1.821123
dim07: 0.009762
dim08: 1.835804
dim09: 0.059508
dim10: -6.149912
dim11: -0.070301
dim12: -1.036879
dim13: -8.094146
dim14: -0.648523
dim15: -3.876696
dim16: -0.418848
dim17: -1.887381
dim18: -5.867483
dim19: -1.459286
dim20: 2.567210
dim21: -0.820360
dim22: 0.131630
dim23: 1.983906
dim24: -0.780960
dim25: -1.801624
dim26: 0.002092
dim27: -0.638292
dim28: -5.832167
dim29: 1.776456
dim30: 1.435352
dim31: -1.361881
dim32: -1.345155
dim33: -0.051911
dim34: 2.575361
dim35: -5.015356
dim36: -4.666451
dim37: -1.330512
dim38: -2.229292
dim39: 1.668678
dim40: -0.435340
dim41: -1.183134
dim42: -0.863622
dim43: 1.792530
sum: -46.035700
time_sec: train=1s, test=3s, total=4s
