dataset: miniboone
hyperparameters: ntree=200, minsplit=464, minbucket=232, maxdepth=4, seed=42, train_cores=8
seed=42, N=250
LL_per_dim:
dim01: -1.087677
dim02: -0.795701
dim03: -5.950010
dim04: 1.952342
dim05: -0.176158
dim06: 1.681167
dim07: 0.117173
dim08: 1.828902
dim09: 0.106091
dim10: -6.049475
dim11: -0.312825
dim12: -1.114624
dim13: -7.984968
dim14: -0.548333
dim15: -4.009542
dim16: -0.489068
dim17: -1.437962
dim18: -5.877243
dim19: -1.595305
dim20: 2.537910
dim21: -0.861228
dim22: 0.097121
dim23: 1.743065
dim24: -0.633406
dim25: -1.875822
dim26: -0.205057
dim27: -0.560151
dim28: -5.867655
dim29: 1.676812
dim30: 1.257957
dim31: -1.293150
dim32: -1.323459
dim33: -0.189942
dim34: 2.433738
dim35: -4.842471
dim36: -4.724814
dim37: -1.424632
dim38: -2.118322
dim39: 1.487692
dim40: -0.468136
dim41: -1.321446
dim42: -1.050332
dim43: 1.629841
sum: -47.639104
time_sec: train=2s, test=18s, total=20s
